Date,Open,High,Low,Close,Adj Close,Volume
1/3/2017,28.950001,29.0825,28.690001,29.0375,27.174757,115127600
1/4/2017,28.9625,29.127501,28.9375,29.004999,27.144339,84472400
1/5/2017,28.98,29.215,28.952499,29.1525,27.282379,88774400
1/6/2017,29.195,29.540001,29.1175,29.477501,27.586529,127007600
1/9/2017,29.487499,29.8575,29.485001,29.747499,27.839207,134247600
1/10/2017,29.692499,29.844999,29.575001,29.7775,27.867283,97848400
1/11/2017,29.684999,29.9825,29.65,29.9375,28.017017,110354400
1/12/2017,29.725,29.825001,29.5525,29.8125,27.900038,108344800
1/13/2017,29.7775,29.905001,29.702499,29.76,27.850906,104447600
1/17/2017,29.584999,30.059999,29.555,30,28.07551,137759200
1/18/2017,30,30.125,29.9275,29.997499,28.073168,94852000
1/19/2017,29.85,30.022499,29.842501,29.945,28.024036,102389200
1/20/2017,30.112499,30.112499,29.932501,30,28.07551,130391600
1/23/2017,30,30.202499,29.942499,30.02,28.094225,88200800
1/24/2017,29.887501,30.025,29.875,29.9925,28.068497,92844000
1/25/2017,30.105,30.525,30.07,30.469999,28.515358,129510400
1/26/2017,30.4175,30.610001,30.4,30.485001,28.529396,105350400
1/27/2017,30.535,30.5875,30.4,30.487499,28.531736,82251600
1/30/2017,30.2325,30.407499,30.165001,30.407499,28.456867,121510000
1/31/2017,30.2875,30.3475,30.155001,30.3375,28.391363,196804000
2/1/2017,31.7575,32.622501,31.752501,32.1875,30.122684,447940000
2/2/2017,31.995001,32.3475,31.945,32.1325,30.071211,134841600
2/3/2017,32.077499,32.297501,32.040001,32.27,30.199896,98029200
2/6/2017,32.282501,32.625,32.224998,32.572498,30.482981,107383600
2/7/2017,32.634998,33.022499,32.612499,32.8825,30.773098,152735200
2/8/2017,32.837502,33.055,32.805,33.009998,30.892418,92016400
2/9/2017,32.912498,33.112499,32.779999,33.105,31.115641,113399600
2/10/2017,33.115002,33.235001,33.012501,33.029999,31.045156,80262000
2/13/2017,33.27,33.455002,33.1875,33.322498,31.320074,92141600
2/14/2017,33.3675,33.772499,33.3125,33.755001,31.726578,132904800
2/15/2017,33.880001,34.067501,33.654999,33.877499,31.841724,142492400
2/16/2017,33.9175,33.974998,33.709999,33.837502,31.804132,90338400
2/17/2017,33.775002,33.9575,33.775002,33.93,31.891069,88792800
2/21/2017,34.057499,34.1875,33.994999,34.174999,32.121349,98028800
2/22/2017,34.107498,34.279999,34.0275,34.2775,32.217701,83347600
2/23/2017,34.345001,34.369999,34.075001,34.1325,32.081398,83152800
2/24/2017,33.977501,34.165001,33.82,34.165001,32.111942,87106400
2/27/2017,34.285,34.360001,34.07,34.232498,32.1754,81029600
2/28/2017,34.27,34.360001,34.174999,34.247501,32.189487,93931600
3/1/2017,34.4725,35.037498,34.400002,34.947498,32.847427,145658400
3/2/2017,35,35.07,34.689999,34.740002,32.652401,104844000
3/3/2017,34.695,34.9575,34.647499,34.945,32.845081,84432400
3/6/2017,34.842499,34.942501,34.650002,34.834999,32.741692,87000000
3/7/2017,34.764999,34.994999,34.697498,34.880001,32.783985,69785200
3/8/2017,34.737499,34.950001,34.705002,34.75,32.661793,74828800
3/9/2017,34.685001,34.697498,34.262501,34.669998,32.586586,88623600
3/10/2017,34.8125,34.84,34.66,34.785,32.694687,78451200
3/13/2017,34.712502,34.857498,34.705002,34.799999,32.70879,69686800
3/14/2017,34.825001,34.912498,34.709999,34.747501,32.659451,61236400
3/15/2017,34.852501,35.1875,34.7575,35.115002,33.00486,102767200
3/16/2017,35.18,35.255001,35.064999,35.172501,33.058907,76928000
3/17/2017,35.25,35.25,34.9725,34.997501,32.894428,175540000
3/20/2017,35.099998,35.375,35.057499,35.365002,33.239838,86168000
3/21/2017,35.5275,35.700001,34.932499,34.959999,32.859177,158119600
3/22/2017,34.962502,35.400002,34.939999,35.355,33.230438,103440800
3/23/2017,35.314999,35.395,35.1525,35.23,33.112953,81385200
3/24/2017,35.375,35.435001,35.087502,35.16,33.047153,89582400
3/27/2017,34.8475,35.305,34.654999,35.220001,33.103554,94300400
3/28/2017,35.227501,36.009998,35.154999,35.950001,33.789688,133499200
3/29/2017,35.919998,36.122501,35.797501,36.029999,33.864883,116760000
3/30/2017,36.047501,36.125,35.875,35.982498,33.820236,84829200
3/31/2017,35.93,36.067501,35.752499,35.915001,33.756794,78646800
4/3/2017,35.927502,36.029999,35.762501,35.924999,33.766197,79942800
4/4/2017,35.8125,36.2225,35.7925,36.192501,34.01762,79565600
4/5/2017,36.055,36.365002,35.952499,36.005001,33.841377,110871600
4/6/2017,36.072498,36.130001,35.862499,35.915001,33.756794,84596000
4/7/2017,35.932499,36.044998,35.817501,35.834999,33.681595,66688800
4/10/2017,35.900002,35.970001,35.724998,35.7925,33.641651,75733600
4/11/2017,35.735001,35.837502,35.014999,35.407501,33.279781,121517600
4/12/2017,35.400002,35.537498,35.252499,35.450001,33.319725,81400000
4/13/2017,35.477501,35.595001,35.262501,35.262501,33.143501,71291600
4/17/2017,35.369999,35.470001,35.217499,35.4575,33.326786,66328400
4/18/2017,35.352501,35.509998,35.2775,35.299999,33.178745,58790000
4/19/2017,35.470001,35.5,35.112499,35.169998,33.056557,69313600
4/20/2017,35.305,35.73,35.290001,35.610001,33.470123,93278400
4/21/2017,35.610001,35.669998,35.462502,35.567501,33.43018,69283600
4/24/2017,35.875,35.987499,35.794998,35.91,33.75209,68537200
4/25/2017,35.977501,36.224998,35.967499,36.1325,33.96122,75486000
4/26/2017,36.1175,36.150002,35.845001,35.919998,33.761482,80164800
4/27/2017,35.98,36.040001,35.827499,35.947498,33.787342,56985200
4/28/2017,36.022499,36.075001,35.817501,35.912498,33.75444,83441600
5/1/2017,36.275002,36.799999,36.240002,36.645,34.442917,134411600
5/2/2017,36.884998,37.022499,36.709999,36.877499,34.661449,181408800
5/3/2017,36.397499,36.872501,36.067501,36.764999,34.555706,182788000
5/4/2017,36.630001,36.785,36.452499,36.6325,34.431164,93487600
5/5/2017,36.689999,37.244999,36.689999,37.240002,35.002178,109310800
5/8/2017,37.2575,38.424999,37.2575,38.252499,35.953823,195009600
5/9/2017,38.467499,38.720001,38.362499,38.497501,36.184101,156521600
5/10/2017,38.407501,38.485001,38.0275,38.314999,36.012566,103222800
5/11/2017,38.112499,38.517502,38.077499,38.487499,36.32402,109020400
5/12/2017,38.674999,39.105,38.6675,39.025002,36.831306,130108000
5/15/2017,39.002499,39.162498,38.762501,38.924999,36.736923,104038800
5/16/2017,38.985001,39.014999,38.68,38.8675,36.682652,80194000
5/17/2017,38.400002,38.642502,37.427502,37.5625,35.451008,203070800
5/18/2017,37.817501,38.334999,37.782501,38.134998,35.991333,134272800
5/19/2017,38.345001,38.494999,38.157501,38.264999,36.114017,107843200
5/22/2017,38.5,38.645,38.227501,38.497501,36.333458,91865600
5/23/2017,38.724998,38.724998,38.327499,38.450001,36.28862,79675600
5/24/2017,38.459999,38.5425,38.1675,38.334999,36.180088,76712000
5/25/2017,38.432499,38.587502,38.2575,38.467499,36.305153,76942400
5/26/2017,38.5,38.560001,38.327499,38.4025,36.24379,87710400
5/30/2017,38.355,38.607498,38.3325,38.4175,36.257942,80507600
5/31/2017,38.4925,38.5425,38.095001,38.189999,36.043232,97804800
6/1/2017,38.2925,38.3325,38.055,38.294998,36.142345,65616400
6/2/2017,38.395,38.862499,38.2225,38.862499,36.67794,111082800
6/5/2017,38.584999,38.612499,38.365002,38.482498,36.319294,101326800
6/6/2017,38.474998,38.952499,38.445,38.612499,36.441998,106499600
6/7/2017,38.755001,38.994999,38.619999,38.842499,36.659065,84278400
6/8/2017,38.8125,38.884998,38.599998,38.747501,36.569405,85003200
6/9/2017,38.797501,38.797501,36.505001,37.244999,35.151352,259530800
6/12/2017,36.435001,36.522499,35.627499,36.355,34.311398,289229200
6/13/2017,36.790001,36.862499,36.287498,36.647499,34.587437,136661600
6/14/2017,36.875,36.875,35.959999,36.290001,34.250046,126124800
6/15/2017,35.830002,36.119999,35.552502,36.072498,34.044777,128661600
6/16/2017,35.945,36.125,35.549999,35.567501,33.568161,201444400
6/19/2017,35.915001,36.685001,35.915001,36.584999,34.528454,130165600
6/20/2017,36.717499,36.717499,36.235001,36.252499,34.214649,99600400
6/21/2017,36.380001,36.517502,36.1525,36.467499,34.417557,85063200
6/22/2017,36.442501,36.674999,36.279999,36.407501,34.360939,76425200
6/23/2017,36.282501,36.790001,36.2775,36.57,34.514305,141757600
6/26/2017,36.7925,37.07,36.345001,36.455002,34.405773,102769600
6/27/2017,36.252499,36.540001,35.904999,35.932499,33.912643,99047600
6/28/2017,36.122501,36.5275,35.790001,36.4575,34.408134,88329600
6/29/2017,36.177502,36.282501,35.57,35.919998,33.900837,125997600
6/30/2017,36.112499,36.240002,35.945,36.005001,33.981056,92096400
7/3/2017,36.220001,36.325001,35.775002,35.875,33.858372,57111200
7/5/2017,35.922501,36.197498,35.68,36.022499,33.997585,86278400
7/6/2017,35.755001,35.875,35.602501,35.682499,33.676701,96515200
7/7/2017,35.724998,36.1875,35.724998,36.044998,34.018814,76806800
7/10/2017,36.0275,36.487499,35.842499,36.264999,34.226456,84362400
7/11/2017,36.182499,36.462502,36.095001,36.3825,34.337337,79127200
7/12/2017,36.467499,36.544998,36.205002,36.435001,34.386898,99538000
7/13/2017,36.375,37.122501,36.360001,36.942501,34.865856,100797600
7/14/2017,36.9925,37.3325,36.8325,37.259998,35.165516,80528400
7/17/2017,37.205002,37.724998,37.142502,37.389999,35.288216,95174000
7/18/2017,37.299999,37.532501,37.1675,37.52,35.410904,71475200
7/19/2017,37.619999,37.855,37.487499,37.755001,35.632702,83692000
7/20/2017,37.875,37.935001,37.547501,37.584999,35.472256,68974800
7/21/2017,37.497501,37.610001,37.220001,37.567501,35.45573,105010400
7/24/2017,37.645,38.110001,37.474998,38.022499,35.885155,85972800
7/25/2017,37.950001,38.459999,37.950001,38.185001,36.038525,75415600
7/26/2017,38.337502,38.482498,38.264999,38.365002,36.208408,63124000
7/27/2017,38.4375,38.497501,36.825001,37.639999,35.524151,129905200
7/28/2017,37.4725,37.557499,37.297501,37.375,35.274052,68854800
7/31/2017,37.474998,37.5825,37.032501,37.182499,35.092377,79383600
8/1/2017,37.275002,37.555,37.102501,37.512501,35.403828,141474400
8/2/2017,39.82,39.9375,39.040001,39.285,37.076683,279747200
8/3/2017,39.262501,39.302502,38.755001,38.892502,36.706257,108389200
8/4/2017,39.017502,39.349998,38.922501,39.0975,36.899731,82239600
8/7/2017,39.264999,39.73,39.1675,39.702499,37.470722,87481200
